Año,Trimestre,Provincia,Accesos por cada 100 hogares
1970-01-01 00:00:00.000002021,1,Mendoza,"39,15"
1970-01-01 00:00:00.000002021,1,Misiones,"43,17"
1970-01-01 00:00:00.000002021,1,Neuquén,"66,84"
1970-01-01 00:00:00.000002021,1,Río Negro,"60,88"
1970-01-01 00:00:00.000002021,1,Salta,"53,93"
1970-01-01 00:00:00.000002021,1,San Juan,"39,06"
1970-01-01 00:00:00.000002021,1,San Luis,"81,24"
1970-01-01 00:00:00.000002021,1,Santa Cruz,"41,65"
1970-01-01 00:00:00.000002021,1,Santa Fe,"73,92"
1970-01-01 00:00:00.000002021,1,Santiago Del Estero,"45,67"
1970-01-01 00:00:00.000002021,1,Tierra Del Fuego,"77,35"
1970-01-01 00:00:00.000002021,1,Tucumán,"54,82"
1970-01-01 00:00:00.000002020,4,Buenos Aires,"68,98"
1970-01-01 00:00:00.000002020,4,Capital Federal,"108,31"
1970-01-01 00:00:00.000002020,4,Catamarca,"49,41"
1970-01-01 00:00:00.000002020,4,Chaco,"43,03"
1970-01-01 00:00:00.000002020,4,Chubut,"68,35"
1970-01-01 00:00:00.000002020,4,Córdoba,"78,08"
1970-01-01 00:00:00.000002020,4,Corrientes,"42,43"
1970-01-01 00:00:00.000002020,4,Entre Ríos,"59,47"
1970-01-01 00:00:00.000002020,4,Formosa,"32,49"
1970-01-01 00:00:00.000002020,4,Jujuy,"53,46"
1970-01-01 00:00:00.000002020,4,La Pampa,"81,77"
1970-01-01 00:00:00.000002020,4,La Rioja,"50,11"
1970-01-01 00:00:00.000002020,4,Mendoza,"38,63"
1970-01-01 00:00:00.000002020,4,Misiones,"42,64"
1970-01-01 00:00:00.000002020,4,Neuquén,67
1970-01-01 00:00:00.000002020,4,Río Negro,"61,09"
1970-01-01 00:00:00.000002020,4,Salta,"54,04"
1970-01-01 00:00:00.000002020,4,San Juan,"36,32"
1970-01-01 00:00:00.000002020,4,San Luis,"81,68"
1970-01-01 00:00:00.000002020,4,Santa Cruz,37
1970-01-01 00:00:00.000002020,4,Santa Fe,"73,58"
1970-01-01 00:00:00.000002020,4,Santiago Del Estero,"43,75"
1970-01-01 00:00:00.000002020,4,Tierra Del Fuego,"76,27"
1970-01-01 00:00:00.000002020,4,Tucumán,"54,78"
1970-01-01 00:00:00.000002020,3,Buenos Aires,"67,66"
1970-01-01 00:00:00.000002020,3,Capital Federal,"107,68"
1970-01-01 00:00:00.000002020,3,Catamarca,"47,16"
1970-01-01 00:00:00.000002020,3,Chaco,"41,54"
1970-01-01 00:00:00.000002020,3,Chubut,"68,34"
1970-01-01 00:00:00.000002020,3,Córdoba,"75,22"
1970-01-01 00:00:00.000002020,3,Corrientes,"41,75"
1970-01-01 00:00:00.000002020,3,Entre Ríos,"58,19"
1970-01-01 00:00:00.000002020,3,Formosa,"31,91"
1970-01-01 00:00:00.000002020,3,Jujuy,"54,04"
1970-01-01 00:00:00.000002020,3,La Pampa,"79,26"
1970-01-01 00:00:00.000002020,3,La Rioja,"50,12"
1970-01-01 00:00:00.000002020,3,Mendoza,"37,35"
1970-01-01 00:00:00.000002020,3,Misiones,"41,6"
1970-01-01 00:00:00.000002020,3,Neuquén,"65,24"
1970-01-01 00:00:00.000002020,3,Río Negro,"57,05"
1970-01-01 00:00:00.000002020,3,Salta,"52,32"
1970-01-01 00:00:00.000002020,3,San Juan,"38,79"
1970-01-01 00:00:00.000002020,3,San Luis,"79,96"
1970-01-01 00:00:00.000002020,3,Santa Cruz,"35,95"
1970-01-01 00:00:00.000002020,3,Santa Fe,"72,12"
1970-01-01 00:00:00.000002020,3,Santiago Del Estero,"43,38"
1970-01-01 00:00:00.000002020,3,Tierra Del Fuego,"76,81"
1970-01-01 00:00:00.000002020,3,Tucumán,"53,23"
1970-01-01 00:00:00.000002020,2,Buenos Aires,"65,22"
1970-01-01 00:00:00.000002020,2,Capital Federal,"106,41"
1970-01-01 00:00:00.000002020,2,Catamarca,"45,43"
